'art   d'art
able   inestimable
able   enable
able   triable
able   memorable
able   indomitable
able   inescapable
able   imperturbable
able   mensurable
able   indubitable
able   ineradicable
able   sable
able   inequitable
able   cable
able   knowledgeable
able   implacable
able   ineluctable
able   extricable
able   imponderable
able   impracticable
able   enforceable
able   extraditable
able   enlargeable
able   calculable
able   explicable
able   impregnable
able   judicable
able   enviable
able   ineffable
able   ineducable
able   singable
able   expiable
able   cognizable
able   justiciable
able   expellable
able   enumerable
able   improbable
able   peaceable
able   trisyllable
abli   Chablis
abli   establish
ablo   Jablonsky
ablo   Pablo
ablo   tabloid
ablu   ablution
abme   crabmeat
Abne   Abner
abno   abnormal
aboa   aboard
aboa   seaboard
abod   abode
abod   Peabody
abol   metabolic
abol   paraboloid
abol   catabolic
abol   diabolic
abol   metabolism
abol   parabolic
abol   metabole
abol   paraboloidal
abol   parabola
abol   abolition
abol   metabolite
abol   abolish
abom   abominate
abom   abominable
abon   Gabon
abon   vagabond
aboo   taboo
aboo   bugaboo
aboo   baboon
abor   collaborate
abor   abort
abor   laborious
abor   elaborate
abor   aboriginal
abor   aborigine
abor   laboratory
abor   aborning
abot   Cabot
abot   sabotage
abou   about
abou   runabout
abou   abound
abou   whereabout
abou   turnabout
abou   thereabouts
abou   roustabout
abou   labour
abou   hereabout
abou   roundabout
abov   aboveground
abov   abovementioned
abov   above
abov   aboveboard
abov   hereinabove
abra   abrade
abra   candelabra
abra   abrasion
Abra   Abraham
Abra   Abramson
abra   sabra
abra   abrasive
abra   labradorite
Abra   Abram
abra   Labrador
abre   macabre
abre   abreast
abre   abreact
abri   abridgment
abri   Cantabrigian
abri   fabric
abri   prefabricate
abri   Gabriel
abri   Gabrielle
abri   abridge
abri   fabricate
abro   abroad
abro   abrogate
abro   scabrous
abru   abrupt
absc   abscess
absc   abscissa
absc   abscissae
abse   absentee
abse   absentia
abse   absence
abse   absenteeism
abse   absent
abse   absentminded
absi   absinthe
abso   absorption
abso   absorptive
abso   absolute
abso   absolve
abso   absolution
abso   absorbent
abso   absorb
abst   abstractor
abst   abstain
abst   Pabst
abst   abstracter
abst   abstention
abst   abstruse
abst   abstract
abst   abstinent
absu   absurd
abui   abuilding
abuk   Kabuki
abul   tabula
abul   tabular
abul   confabulate
abul   vocabularian
abul   Kabul
abul   fabulous
abul   vocabulary
abul   tabulate
abun   abundant
abus   abusable
abus   syllabus
abus   abuse
abus   abusive
abut   abutted
abut   abutting
abut   abut
abye   rockabye
abyh   babyhood
abyl   Babylonian
abyl   Babylon
abyr   labyrinth
abys   abysmal
abys   babysitting
abys   babysitter
abys   abyss
Abys   Abyssinia
abys   babysat
abys   babysit
abyt   megabyte
abyt   gigabyte
acab   macabre
acab   implacable
acad   facade
Acad   Acadia
acad   academician
acad   academia
acad   academic
acad   academy
acad   academe
acal   zodiacal
acal   maniacal
acan   acanthus
acan   vacant
acan   pyracanth
acao   cacao
Acap   Acapulco
acaq   macaque
acar   teacart
acAr   MacArthur
acas   Caracas
acas   Macassar
acat   vacate
acat   placate
acat   placater
acat   vacationland
acbe   Macbeth
acca   baccalaureate
acca   saccade
acca   Dacca
acca   baccarat
acca   staccato
acce   accelerometer
acce   accessory
acce   access
acce   accede
acce   inaccessible
acce   accept
acce   accession
acce   accentuate
acce   accessible
acce   accent
acce   acceptor
acce   accentual
acce   acceptant
acce   accelerate
acch   saccharine
acch   polysaccharide
acch   Bacchus
acch   disaccharide
acci   accidental
acci   vaccine
acci   vaccinate
acci   Fibonacci
acci   accipiter
acci   accident
accl   acclamation
accl   acclimate
accl   acclaim
acco   accordant
acco   accommodate
acco   raccoon
acco   accolade
acco   accord
acco   accost
acco   accompaniment
acco   tobacco
acco   account
acco   accordion
acco   accomplish
acco   accompany
acco   accountant
acco   accomplice
acco   accompanist
accr   accreditation
accr   accrual
accr   accretion
accr   accredit
Accr   Accra
accr   accreditate
accr   accrue
accu   accurate
accu   accusation
accu   accusative
accu   accusatory
accu   accuracy
accu   accumulate
accu   acculturate
accu   accustom
accu   inaccuracy
accu   inaccurate
accu   accuse
acDo   MacDonald
acDo   MacDougall
acea   embraceable
acea   traceable
acea   peaceable
acea   placeable
acea   replaceable
acea   panacea
acea   irreplaceable
acea   effaceable
aceb   placebo
acec   spacecraft
aced   Macedonia
aced   shamefaced
aced   Macedon
aced   barefaced
acef   peaceful
acef   graceful
aceh   placeholder
acel   bracelet
acel   extracellular
acem   peacemake
acem   pacemake
acen   complacent
acen   Saracen
acen   placenta
acen   adjacent
acen   placental
aceo   Cretaceous
aceo   argillaceous
aceo   diatomaceous
aceo   curvaceous
aceo   arenaceous
aceo   carbonaceous
acep   contraceptive
acep   contraception
acep   faceplate
acer   acerbity
acer   acerbic
acer   lacerate
acer   Lacerta
acer   exacerbate
acer   tracery
aces   pacesetting
aces   spacesuit
acet   facet
acet   acetone
acet   acetylene
acet   acetate
acet   spacetime
acet   facetious
acet   peacetime
acet   acetic
acet   racetrack
acet   trichloroacetic
aceu   pharmaceutic
acew   lacewing
acew   raceway
acGr   MacGregor
acha   inapproachable
acha   Zachary
acha   cachalot
acha   irreproachable
acha   leachate
achc   beachcomb
ache   Schumacher
ache   schoolteacher
ache   sachem
ache   Rachel
ache   cache
ache   Andromache
ache   headache
ache   attache
ache   mustache
ache   bellyache
ache   Montrachet
ache   ache
ache   Lachesis
ache   treachery
ache   moustache
ache   apache
ache   bachelor
ache   treacherous
ache   trachea
achh   beachhead
achi   tachinid
achi   Machiavelli
achi   machinelike
achi   machination
achi   Appalachia
achi   pistachio
achi   machismo
achi   hibachi
achi   machinery
achi   mustachio
Achi   Achilles
achi   machine
achi   aching
achi   tachistoscope
achi   Hitachi
achi   Karachi
achi   achieve
achl   hexachloride
achl   tetrachloride
achm   coachman
achm   Rachmaninoff
achm   coachmen
achn   arachnid
achn   Arachne
acho   macho
acho   tachometer
achr   anachronism
achr   diachronic
achr   anachronistic
achr   achromatic
achr   Kodachrome
achr   Ektachrome
achs   dachshund
achs   Sachs
acht   yacht
acht   Peachtree
acht   yachtsmen
acht   yachtsman
achu   Massachusetts
achu   parachute
achw   coachwork
achy   preachy
acia   emaciate
acia   glaciate
acia   racial
acia   Laplacian
acia   facial
acia   biracial
acia   glacial
acid   antacid
acid   acidulous
acid   placid
acid   acid
acid   acidic
acie   hacienda
acie   glacier
acif   transpacific
acif   pacific
acif   pacifism
acif   pacifist
acif   pacify
acil   facilitate
acil   uracil
acil   facile
acil   thiouracil
acil   vacillate
acil   bacilli
acil   bacillus
acin   hyacinth
acin   niacin
acin   macintosh
acio   tenacious
acio   salacious
acio   fallacious
acio   mendacious
acio   gracious
acio   perspicacious
acio   vivacious
acio   voracious
acio   audacious
acio   efficacious
acio   sagacious
acio   veracious
acio   rapacious
acio   capacious
acio   pertinacious
acio   spacious
acio   loquacious
acio   pugnacious
acis   pharmacist
acis   glacis
acis   ostracism
acit   incapacity
acit   sagacity
acit   capacitate
acit   loquacity
acit   opacity
acit   capacitive
acit   audacity
acit   capacitor
acit   capacitance
acit   voracity
acit   anthracite
acit   tenacity
acit   mendacity
acit   incapacitate
acit   capacity
acit   vivacity
acit   Tacitus
acit   tacit
acit   veracity
acka   trackage
acka   lackadaisic
acka   jackass
acka   package
acka   Packard
acka   jackanapes
ackb   blackball
ackb   blackberry
ackb   hackberry
ackb   backbone
ackb   blackbird
ackb   Blackburn
ackb   blackboard
ackb   backboard
ackb   blackbody
ackb   jackboot
ackd   backdrop
ackd   jackdaw
acke   graywacke
acke   Hackett
acKe   MacKenzie
acke   wacke
acke   quackery
acke   bracken
acke   blacken
acke   jacket
acke   rackety
acke   mackerel
acke   lackey
acke   Mackey
acke   linebacker
acke   bracket
acke   firecracker
acke   McCracken
acke   racketeer
acke   packet
Acke   Ackerman
acke   bluejacket
acke   racket
acke   slacken
ackf   backfill
ackf   Blackfeet
ackg   backgammon
ackg   background
ackh   backhand
acki   brackish
acki   Mackinaw
acki   Mackinac
acki   mackintosh
acki   Jackie
ackj   blackjack
ackk   jackknife
ackl   lackluster
ackl   grackle
ackl   backlog
ackl   shackle
ackl   crackle
Ackl   Ackley
ackl   hackle
ackl   cackle
ackl   tackle
ackl   backlash
ackm   blackmail
ackm   Jackman
ackm   hackmatack
ackm   Blackman
ackn   hackneyed
ackn   hackney
ackn   acknowledge
ackn   acknowledgeable
acko   blackout
acko   backorder
ackp   backplate
ackp   crackpot
ackp   backpack
ackp   backplane
ackp   jackpot
acks   backstage
acks   Jackson
acks   Blackstone
acks   backstop
acks   Jacksonian
acks   blacksmith
acks   hacksaw
acks   Jacksonville
acks   backstitch
acks   backside
acks   backscatter
acks   backspace
ackt   backtrack
acku   backup
ackw   backwood
ackw   backwater
ackw   backward
ackw   Blackwell
acky   wacky
acky   Jacky
acky   tacky
acky   backyard
acle   tentacle
acle   tabernacle
acle   barnacle
acle   receptacle
acle   pinnacle
acle   spectacle
acle   oracle
acle   obstacle
acle   debacle
acle   bespectacled
acle   miracle
acli   Heraclitus
acly   cataclysmic
acly   cataclysm
acme   acme
acMi   MacMillan
acno   anthracnose
acoa   seacoast
acob   Jacob
acob   Jacobi
acob   Jacobus
acob   Jacobean
acob   Jacobs
acob   Jacobsen
acob   Jacobson
acob   Jacobite
acob   Jacobian
acoc   peacock
acod   ostracod
acol   pharmacology
acol   acolyte
acol   Pensacola
acom   Giacomo
acom   Tacoma
acon   anaconda
acon   beacon
acon   laconic
acon   Macon
acon   deacon
acon   deaconess
acon   bacon
acop   cacophonist
acop   cacophony
acop   pharmacopoeia
acor   albacore
acor   acorn
acou   acoustic
acou   psychoacoustic
acou   optoacoustic
acqu   acquisition
acqu   acquaint
acqu   acquire
acqu   acquiesce
acqu   acquaintance
acqu   acquisitive
acqu   acquit
acqu   acquittal
acqu   Jacqueline
acqu   acquitting
acqu   acquiescent
acqu   lacquer
acqu   Jacques
acra   macrame
acra   Sacramento
acra   sacral
acra   sacrament
acre   acre
acre   wiseacre
acre   massacre
acre   acreage
acre   sacred
acri   sacrificial
acri   sacrifice
acri   sacrilege
acri   sacrilegious
acri   alacrity
acri   diacritic
acri   diacritical
acri   acrimonious
acri   acrimony
acri   acrid
acro   lacrosse
acro   acropolis
acro   macroscopic
acro   acrobacy
acro   macro
acro   macrostructure
acro   macroprocessor
acro   macromolecular
acro   across
acro   acrobat
acro   macromolecule
acro   macrophage
acro   acronym
acro   sacrosanct
acro   acrobatic
acry   acrylate
acry   methacrylate
acry   acrylic
acsi   facsimile
acso   Isaacson
acta   lactate
Acta   Actaeon
acta   surfactant
acta   reactant
acta   intractable
acte   mycobacteria
acte   subtracter
acte   bacterium
acte   bacterial
acte   Aerobacter
acte   bacteria
acte   characteristic
acte   character
acte   exacter
acte   compacter
acte   abstracter
actf   tactful
acti   reactionary
acti   tactician
acti   liquefaction
acti   deactivate
acti   actinolite
acti   practice
acti   petrifaction
acti   impractical
acti   syntactic
acti   actinium
acti   activate
acti   malpractice
acti   stupefaction
acti   activation
acti   actinide
acti   impracticable
acti   activism
acti   practical
acti   protactinium
acti   actinic
acti   stalactite
acti   practicable
acti   cacti
acti   compactify
acti   climactic
acti   galactic
acti   satisfaction
acti   radioactive
acti   inaction
acti   didactic
acti   tactic
acti   practise
acti   inactivate
acti   inactive
acti   tactile
acti   fraction
acti   fractionate
acti   fractious
acti   prophylactic
acti   retroactive
acti   hypoactive
acti   practitioner
acti   factious
acti   actinometer
acto   facto
acto   factor
acto   factorial
acto   factory
acto   abstractor
acto   malefactor
acto   detractor
acto   lactose
acto   chiropractor
acto   tractor
acto   refractory
acto   refractometer
acto   contractor
acto   extractor
Acto   Acton
acto   actor
acto   benefactor
acto   olfactory
acto   redactor
acto   satisfactory
acto   cofactor
acto   galactose
acto   diffractometer
actr   actress
Acts   Acts
actu   factual
actu   manufacture
actu   contractual
actu   tactual
actu   fracture
actu   cactus
actu   actuate
actu   actuarial
actu   actual
acty   dactyl
acty   dactylic
acty   pterodactyl
acua   vacua
acua   evacuate
acud   barracuda
acui   acuity
acul   spectacular
acul   oracular
acul   facultative
acul   miraculous
acul   immaculate
acul   ejaculate
acul   faculty
acul   vernacular
acum   acumen
acun   lacunae
acun   lacuna
acuo   vacuous
acuo   vacuo
acuo   vacuole
acuo   vacuolate
acup   teacup
acur   extracurricular
acus   Syracuse
acus   abacus
acus   lacustrine
acut   acute
acuu   vacuum
acyc   acyclic
acyc   gigacycle
adab   Ahmadabad
adac   headache
adag   adagio
adag   adage
adag   Madagascar
adai   Dadaist
adai   Dadaism
Adai   Adair
adai   lackadaisic
adam   madam
Adam   Adams
Adam   Adamson
Adam   McAdams
Adam   Adam
adam   adamant
adam   Madame
adam   Hadamard
adam   Nostradamus
adan   sladang
adap   adaptation
adap   adaptive
adap   adapt
adap   maladaptive
adap   maladapt
adar   radar
adat   degradation
adat   gradate
adav   cadaverous
adav   cadaver
aday   Faraday
aday   workaday
aday   nowadays
aday   nowaday
adba   threadbare
adbe   roadbed
adbl   roadblock
adbo   headboard
adbo   breadboard
adbu   Bradbury
adbu   shadbush
adca   madcap
adca   broadcast
adcl   Radcliffe
adda   Haddad
adde   addendum
adde   McFadden
adde   addenda
adde   bladdernut
adde   addend
adde   gladden
adde   bladder
adde   added
adde   madden
adde   bladderwort
adde   sadden
adde   bemadden
addi   caddis
addi   additive
addi   addict
Addi   Addison
addi   additional
addi   addition
Addi   Addis
addi   Kaddish
addl   waddle
addl   astraddle
addl   straddle
addl   offsaddle
addl   twaddle
addl   paddle
addl   sidesaddle
addl   saddle
addl   addle
addl   saddlebag
addo   haddock
addo   Maddox
addo   paddock
addr   addressee
addr   headdress
Addr   Addressograph
addr   address
addu   adduce
addy   gladdy
addy   daddy
addy   paddy
addy   caddy
addy   Irrawaddy
adec   hexadecimal
aded   clearheaded
aded   coolheaded
adee   chickadee
adei   Madeira
adel   Philadelphia
Adel   Adelaide
adel   Madeline
adel   Madeleine
Adel   Adele
adel   citadel
Adel   Adelia
adem   trademark
adem   academe
adem   academy
adem   academic
adem   diadem
adem   academician
adem   academia
aden   adenosine
aden   leaden
Aden   Aden
aden   deaden
aden   adenine
aden   Almaden
aden   laden
aden   decadent
aden   cadent
aden   adenoma
aden   broaden
aden   menhaden
aden   cadenza
aden   Pasadena
aden   Baden
adeo   fadeout
adeo   tradeoff
adep   adept
adeq   inadequate
adeq   adequacy
adeq   adequate
adeq   inadequacy
ader   cheerleader
ader   doubleheader
ader   embarcadero
ader   camaraderie
ades   Hades
ades   tradesmen
ades   Pleiades
ades   Cyclades
ades   Bangladesh
ades   Everglades
ades   Hyades
ades   tradesman
adet   cadet
adet   leadeth
adeu   Amadeus
adfa   steadfast
adfl   gadfly
adfl   shadflower
adfo   Bradford
adfr   breadfruit
adfu   dreadful
adge   gadgetry
adge   badge
adge   gadget
adhe   adhesive
adhe   adherent
adhe   adhere
adhe   deadhead
adhe   adhesion
adho   madhouse
adho   roadhouse
adia   radian
adia   Palladian
adia   Canadian
adia   radiate
adia   irradiate
adia   radiant
adia   steradian
adia   Acadia
adia   gladiator
adia   palladia
adia   adiabatic
adia   stadia
adia   Nadia
adia   Arcadia
adia   radial
adic   contradict
adic   contradictory
adic   nomadic
adic   monadic
adic   radices
adic   ineradicable
adic   radical
adic   dyadic
adic   sporadic
adic   eradicate
adic   eradicable
adie   gradient
adie   brigadier
adie   adieu
adie   butadiene
adie   Sadie
adig   paradigmatic
adig   paradigm
adii   radii
adil   armadillo
adil   Cadillac
adil   Piccadilly
adim   Vladimir
adin   Bernadine
adin   badinage
adin   Nadine
adio   gladiolus
adio   radiochemistry
adio   radiotelephone
adio   radioactive
adio   radiology
adio   radiotherapy
adio   radiogram
adio   radiometer
adio   radiochemical
adio   radiosonde
adio   radioastronomy
adio   radio
adio   radiotelegraph
adio   radiography
adio   radiocarbon
adio   radiophysics
adip   adipic
adir   nadir
Adir   Adirondack
adis   sadism
adis   Madison
adis   contradistinct
adis   sadist
adis   paradise
adis   radish
adis   contradistinction
adis   Mogadiscio
adis   contradistinguish
adit   extradition
adit   extraditable
adit   tradition
adit   extradite
adiu   radius
adiu   stadium
adiu   palladium
adiu   radium
adiu   vanadium
adiv   Vladivostok
adix   radix
adja   adjacent
adje   adjective
adje   adject
adje   adjectival
adjo   adjoint
adjo   adjoin
adjo   adjourn
adjo   selfadjoint
adju   adjunct
adju   coadjutor
adju   adjudicate
adju   adjutant
adju   adjudge
adju   maladjust
adju   adjust
Adki   Adkins
adla   headland
adla   badland
adle   ladle
adle   treadle
adle   Bradley
Adle   Adler
adle   Hadley
adle   cradle
adle   Sadler
adle   beadle
adli   headlight
adli   headline
adli   deadline
adlo   padlock
adlo   deadlock
adlo   broadloom
adma   headmaster
adma   madman
adme   madmen
admi   administer
admi   admitting
admi   admix
admi   admiral
admi   treadmill
admi   admitted
admi   admiralty
admi   inadmissible
admi   administratrix
admi   cadmium
admi   administrable
admi   admission
admi   administrate
admi   admiration
admi   admittance
admi   admissible
admi   admit
admi   admire
admi   badminton
admi   admixture
admo   admonition
admo   admonish
adn'   hadn't
adne   Ariadne
adno   dreadnought
adob   adobe
adol   gadolinium
adol   adolescent
Adol   Adolphus
Adol   Adolph
adon   Madonna
Adon   Adonis
adon   belladonna
adon   radon
adop   cladophora
adop   adoptive
adop   adoption
adop   adopt
ador   ambassador
ador   Labrador
ador   troubador
ador   Salvador
ador   adore
ador   adorn
ador   Isadore
ador   Ecuador
ador   labradorite
ador   conquistador
ados   Barbados
adot   polkadot
adou   readout
adou   Ouagadougou
adou   pompadour
adow   meadowland
adow   meadowsweet
adow   shadow
adow   shadowy
adow   meadow
adox   paradoxic
adox   paradox
adph   headphone
adpo   adposition
adpo   tadpole
adqu   headquarter
adqu   headquarters
adra   quadrangle
adra   quadrature
adra   quadrant
adra   quadrangular
adra   Madras
adra   quadratic
adre   quadrennial
adre   adrenal
adre   adrenaline
adre   cadre
adre   padre
Adri   Adriatic
adri   madrigal
adri   adrift
adri   quadrivium
Adri   Adrienne
adri   quadripartite
adri   escadrille
adri   quadric
Adri   Adrian
adri   Hadrian
adri   quadrillion
adri   quadriceps
adri   quadrille
adri   Madrid
adri   quadrilateral
adro   hadron
adro   headroom
adro   breadroot
adro   squadron
adro   adroit
adro   Avogadro
adro   maladroit
adru   quadruple
adru   quadrupole
adse   Madsen
adse   headset
adsh   Bradshaw
adsi   broadside
adsi   roadside
adsm   leadsman
adsm   leadsmen
adsm   headsman
adsm   headsmen
adso   adsorb
adso   adsorptive
adso   adsorbate
adso   adsorption
adst   roadster
adst   headstrong
adst   Gladstone
adst   madstone
adst   headstone
adst   headstand
adsw   Wadsworth
adth   breadth
adua   gradual
adua   graduate
adua   postgraduate
aduc   viaduct
adul   adult
adul   adulthood
adul   adulate
adul   adulterate
adul   adulterous
adul   adultery
aduz   Vaduz
adva   advantage
adva   advance
adva   advantageous
adve   adventitious
adve   adversary
adve   advent
adve   adverb
adve   adverbial
adve   animadversion
adve   animadvert
adve   adventure
adve   inadvertent
adve   adverse
adve   adventurous
adve   advertise
adve   advert
advi   advisory
advi   advisee
advi   advice
advi   advisable
advi   inadvisable
advi   advise
advi   advisor
advo   advocacy
advo   advocate
adwa   headwall
adwa   gadwall
adwa   roadway
adwa   headway
adwa   headwater
adwa   Broadway
adwi   Chadwick
adwi   headwind
adwi   breadwinner
adwo   deadwood
adyf   ladyfern
adyl   ladylike
adys   Gladys
aean   paean
aean   Mycenaean
aeci   algaecide
aeco   praecox
aeda   Daedalus
aefe   Schaefer
Aege   Aegean
aege   Jaeger
aegi   aegis
aela   Michaelangelo
aeli   Gaelic
aeli   Israelite
aeli   Israeli
aels   Maelstrom
Aene   Aeneas
Aene   Aeneid
aeol   aeolian
Aeol   Aeolus
aeon   Actaeon
aera   aerate
aeri   aerial
aero   aerodynamic
aero   aerogene
aero   anaerobic
aero   aerospace
aero   aerosol
Aero   Aerobacter
aero   aeronautic
aero   aerobic
aery   faery
aesa   Caesar
Aesc   Aeschylus
aesq   Kafkaesque
aest   aesthete
aest   aesthetic
aest   maestro
aeus   Antaeus
aeus   Piraeus
afae   Rafael
afar   afar
afar   safari
afar   seafare
afay   Lafayette
afeg   safeguard
afek   safekeeping
afen   deafen
afer   Shafer
afer   wafer
afer   Schafer
afet   safety
afet   cafeteria
affa   affable
affa   affair
affe   Shaffer
affe   affectionate
affe   affect
affe   giraffe
affe   Rafferty
affe   decaffeinate
affe   Luftwaffe
affe   gaffe
affe   afferent
affe   taffeta
affe   affectation
affe   affectate
affi   affirmative
affi   affiance
affi   Baffin
affi   affidavit
affi   traffic
affi   affiliate
affi   trafficked
affi   affine
affi   affinity
affi   affirm
affi   raffish
affi   affirmation
affi   paraffin
affi   trafficking
affi   affix
affi   raffia
affl   baffle
affl   waffle
affl   affluent
affl   raffle
affl   afflict
affl   affluence
affo   scaffold
affo   Stafford
affo   afforest
affo   daffodil
affo   afford
affo   afforestation
affr   affricate
affr   affront
affr   saffron
affy   taffy
affy   daffy
Afgh   Afghanistan
Afgh   Afghan
afia   Mafia
afic   aficionado
afie   afield
afir   afire
afka   Kafkaesque
afka   Kafka
afla   aflame
afle   leaflet
aflo   afloat
aflu   hexafluoride
aflu   tetrafluoride
aflu   tetrafluouride
afni   Fafnir
afni   hafnium
